"gameid","roundNum","condition","target_sub","target_basic","target_super","alt1_sub","alt1_basic","alt1_super","alt2_sub","alt2_basic","alt2_super","speakerMessages","listenerMessages","refExp","sub","basic","super","freq_sub","freq_basic","freq_super","log_freq_sub","log_freq_basic","log_freq_super","diff_logfreq_subbasic","diff_logfreq_subsuper","mean_length_sub","mean_length_basic","mean_length_super","precoded_length_sub","precoded_length_basic","precoded_length_super","ratio_length_subbasic","ratio_length_subsuper","redCondition","typ_sub","typ_basic","typ_super","ratio_typ_subbasic","ratio_typ_subsuper","binaryCondition","trial_inds"
"6588-d",14,"basic33","coffeetable","table","furniture","popcorn",NA,"snack","rhino",NA,"animal","wood table","","wood table",FALSE,TRUE,FALSE,1.06e-06,0.000309774,1.8e-05,-13.7572416498403,-8.07966755861639,-10.9251388000681,-5.67757409122391,-2.83210284977219,9.08,4.99,9,11,5,9,1.81963927855711,1.00888888888889,"super_sufficient",0.924375,0.8705,0.849090909090909,1.06188971855256,1.08866434689507,"nonsub_sufficient",1117
"6588-d",15,"basic33","dalmatian","dog","animal","wardrobe",NA,"furniture","bathrobe",NA,"clothing","Dalmation","","Dalmation",TRUE,FALSE,FALSE,1.46e-07,6.42e-05,0.000117655,-15.7396592152381,-9.65350734726836,-9.04775394475643,-6.08615186796971,-6.69190527048164,8.8,3.05,6,9,3,6,2.88524590163934,1.46666666666667,"super_sufficient",0.948666666666667,0.893636363636364,0.892272727272727,1.06158019667684,1.06320258108338,"nonsub_sufficient",1118
"6588-d",20,"basic12","diningtable","table","furniture","lamp",NA,"furniture","sidetable","table","furniture","long table","","long table",FALSE,TRUE,FALSE,5.4e-07,0.000309774,1.8e-05,-14.4316966973881,-8.07966755861639,-10.9251388000681,-6.3520291387717,-3.50655789731998,12,4.99,9,11,5,9,2.40480961923848,1.33333333333333,"sub_necessary",0.82375,0.927619047619048,0.905,0.888026180698152,0.910220994475138,"sub_necessary",1119
"6588-d",21,"basic23","tshirt","shirt","clothing","bathrobe",NA,"clothing","kitten",NA,"animal","blue shirt","","blue shirt",FALSE,TRUE,FALSE,1.05e-07,2.16e-05,2.35e-05,-16.0693054867889,-10.7428172432742,-10.6585101368142,-5.32648824351473,-5.41079534997473,6.36,5,8,6,5,8,1.272,0.795,"basic_sufficient",0.957857142857143,0.937142857142857,0.926666666666667,1.02210365853659,1.03365878725591,"nonsub_sufficient",1120
"6588-d",23,"basic33","picnictable","table","furniture","bathrobe",NA,"clothing","grasses",NA,"plant","wood table","","wood table",FALSE,TRUE,FALSE,5.19e-07,0.000309774,1.8e-05,-14.4713619537805,-8.07966755861639,-10.9251388000681,-6.39169439516413,-3.54622315371241,9.73,4.99,9,11,5,9,1.9498997995992,1.08111111111111,"super_sufficient",0.987222222222222,0.82625,0.631333333333333,1.19482265927047,1.56370996128124,"nonsub_sufficient",1121
"6588-d",25,"basic22","polarbear","bear","animal","pig",NA,"animal","kitten",NA,"animal","polar bear","","polar bear",TRUE,FALSE,FALSE,6.8e-07,1.9e-05,0.000117655,-14.2011730387763,-10.8710715787978,-9.04775394475643,-3.33010145997843,-5.15341909401983,8.83,4,6,9,4,6,2.2075,1.47166666666667,"basic_sufficient",0.97,0.894375,0.911428571428571,1.08455625436758,1.06426332288401,"nonsub_sufficient",1122
"6588-d",26,"basic12","pandabear","bear","animal","snake",NA,"animal","koalabear","bear","animal","Panda bear","","Panda bear",TRUE,FALSE,FALSE,1.87e-08,1.9e-05,0.000117655,-17.7947423130859,-10.8710715787978,-9.04775394475643,-6.92367073428804,-8.74698836832944,5.48,4,6,9,4,6,1.37,0.913333333333333,"sub_necessary",0.9785,0.754,0.90625,1.29774535809019,1.07972413793103,"sub_necessary",1123
"6588-d",28,"basic12","poloshirt","shirt","clothing","bathrobe",NA,"clothing","campshirt","shirt","clothing","light blue shirt___ not button down","","light blue shirt  not button down",FALSE,TRUE,FALSE,1.63e-07,2.16e-05,2.35e-05,-15.6295156361396,-10.7428172432742,-10.6585101368142,-4.88669839286549,-4.97100549932549,6.7,5,8,9,5,8,1.34,0.8375,"sub_necessary",0.853571428571429,0.9675,0.953809523809524,0.882244370616464,0.894907638542187,"sub_necessary",1124
"6588-d",29,"basic12","goldfish","fish","animal","discusfish","fish","animal","pig",NA,"animal","gold fish","","gold fish",TRUE,FALSE,FALSE,1.49e-07,5.83e-05,0.000117655,-15.719319531001,-9.74990846460783,-9.04775394475643,-5.96941106639312,-6.67156558624452,7.87,4,6,8,4,6,1.9675,1.31166666666667,"sub_necessary",0.963571428571429,0.941176470588235,0.746153846153846,1.02379464285714,1.29138438880707,"sub_necessary",1125
"6588-d",30,"basic22","parrot","bird","animal","snake",NA,"animal","hamster",NA,"animal","parakeet","","parakeet",TRUE,FALSE,FALSE,2.65e-06,6.03e-05,0.000117655,-12.8409509179661,-9.71617845423113,-9.04775394475643,-3.12477246373501,-3.79319697320971,6.14,4.01,6,6,4,6,1.53117206982544,1.02333333333333,"basic_sufficient",0.955333333333333,0.863913043478261,0.679090909090909,1.10582117094447,1.40678268630076,"nonsub_sufficient",1126
"6588-d",32,"basic23","pug","dog","animal","firetruck",NA,"vehicle","sheep",NA,"animal","Pug dog","","Pug dog",TRUE,FALSE,FALSE,3.57e-07,6.42e-05,0.000117655,-14.8455300551668,-9.65350734726836,-9.04775394475643,-5.19202270789841,-5.79777611041034,3.04,3.05,6,3,3,6,0.99672131147541,0.506666666666667,"basic_sufficient",0.941764705882353,0.907826086956522,0.867,1.0373844940275,1.08623380147907,"nonsub_sufficient",1127
"6588-d",35,"basic23","jellybeans","candy","snack","popcorn",NA,"snack","train",NA,"vehicle","jelly beans","","jelly beans",TRUE,FALSE,FALSE,1.68e-07,6.34e-06,4.43e-06,-15.5993018575432,-11.9686317895151,-12.3271109739072,-3.63067006802801,-3.27219088363592,9.34,5.05,5,10,5,5,1.84950495049505,1.868,"basic_sufficient",0.982142857142857,0.903571428571429,0.659230769230769,1.08695652173913,1.48983163860643,"nonsub_sufficient",1128
"6588-d",37,"basic22","suv","car","vehicle","ambulance",NA,"vehicle","motorcycle",NA,"vehicle","white four door car","","white four door car",FALSE,TRUE,FALSE,5.71e-07,0.000113414,4.63e-05,-14.3758766272904,-9.08446571750066,-9.98036859687209,-5.29141090978974,-4.39550803041831,3,3.01,7,3,3,7,0.996677740863787,0.428571428571429,"basic_sufficient",0.919285714285714,0.886818181818182,0.914,1.03661126162408,1.00578305720538,"nonsub_sufficient",1129
"6588-d",38,"basic22","sportscar","car","vehicle","train",NA,"vehicle","ambulance",NA,"vehicle","sports car","","sports car",TRUE,FALSE,FALSE,7.1e-07,0.000113414,4.63e-05,-14.1580008669111,-9.08446571750066,-9.98036859687209,-5.07353514941039,-4.17763227003896,9.82,3.01,7,9,3,7,3.2624584717608,1.40285714285714,"basic_sufficient",0.911875,0.775333333333333,0.883333333333333,1.17610705073087,1.03231132075472,"nonsub_sufficient",1130
"6588-d",40,"basic33","dressshirt","shirt","clothing","wardrobe",NA,"furniture","motorcycle",NA,"vehicle","blue shirt","","blue shirt",FALSE,TRUE,FALSE,1.65e-07,2.16e-05,2.35e-05,-15.6173203630458,-10.7428172432742,-10.6585101368142,-4.87450311977168,-4.95881022623167,11,5,8,10,5,8,2.2,1.375,"super_sufficient",0.939166666666667,0.912222222222222,0.942727272727273,1.0295371498173,0.996223079395693,"nonsub_sufficient",1131
"6588-d",44,"basic23","skittles","candy","snack","chips",NA,"snack","bookcase",NA,"furniture","Skittles","","Skittles",TRUE,FALSE,FALSE,9.14e-08,6.34e-06,4.43e-06,-16.2080203584863,-11.9686317895151,-12.3271109739072,-4.23938856897117,-3.88090938457908,6.87,5.05,5,8,5,5,1.36039603960396,1.374,"basic_sufficient",0.952631578947368,0.905,0.791818181818182,1.05263157894737,1.20309384252825,"nonsub_sufficient",1132
"6588-d",48,"basic22","hummingbird","bird","animal","rhino",NA,"animal","hamster",NA,"animal","bird","","bird",FALSE,TRUE,FALSE,8.43e-07,6.03e-05,0.000117655,-13.9862988789446,-9.71617845423113,-9.04775394475643,-4.27012042471342,-4.93854493418813,10.08,4.01,6,11,4,6,2.51371571072319,1.68,"basic_sufficient",0.934117647058823,0.844545454545454,0.745882352941176,1.10605964667891,1.25236593059937,"nonsub_sufficient",1133
"6588-d",49,"basic33","swordfish","fish","animal","pretzels",NA,"snack","wardrobe",NA,"furniture","sword fish","","sword fish",TRUE,FALSE,FALSE,5.83e-07,5.83e-05,0.000117655,-14.3550786505959,-9.74990846460783,-9.04775394475643,-4.60517018598809,-5.30732470583949,8.03,4,6,9,4,6,2.0075,1.33833333333333,"super_sufficient",0.963846153846154,0.896,0.692,1.07572115384615,1.39284126278346,"nonsub_sufficient",1134
"6588-d",51,"basic23","catfish","fish","animal","bison",NA,"animal","bed",NA,"furniture","cat fish","","cat fish",TRUE,FALSE,FALSE,1.05e-06,5.83e-05,0.000117655,-13.7667203937948,-9.74990846460783,-9.04775394475643,-4.01681192918701,-4.71896644903841,6.64,4,6,7,4,6,1.66,1.10666666666667,"basic_sufficient",0.932727272727273,0.8525,0.524615384615385,1.09410823780325,1.77792588643028,"nonsub_sufficient",1135
"6588-d",52,"basic22","rose","flower","plant","rosemary",NA,"plant","grasses",NA,"plant","rose","","rose",TRUE,FALSE,FALSE,2.53e-05,4.86e-05,0.000155648,-10.5847061622308,-9.93188702705783,-8.76791351050068,-0.652819135172974,-1.81679265173012,4,5.98,5,4,6,5,0.668896321070234,0.8,"basic_sufficient",0.981666666666667,0.885454545454545,0.850769230769231,1.10865845311431,1.1538577456299,"nonsub_sufficient",1136
